Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C17, C19, C2, C4, C5, C8, C9",C_0402,12,1uF,C52923
"C14, C15",C_0402,2,10uF,C15525
"C16, C18, C20, C21, C3, C6, C7",C_0402,7,100nF,C1525
"D1, D2, D3, D4",D_SMA,4,SS34,C8678
D5,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL-1,1,SRV05-4_C7420376,C7420376
D6,D_0603,1,Blue,C2286
D7,D_0603,1,Red,C2286
D8,D_SOD-323,1,BZT52C2V7S,C22375298
IC1,BMI270,1,BMI270,
"J1, J10, J11, J12, J14, J15, J17, J18, J19, J2, J22, J23, J24, J3, J4, J6, J7, J8, J9",SolderWirePad_1x01_SMD_1x2mm,19,Conn_01x01,
J13,FPC-SMD_24P-P0.50_05A20L24P,1,Conn_01x26,C5362158
J16,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"J20, J21",SolderWirePad_1x01_SMD_1.5x3mm,2,Conn_01x01,
J5,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,1,Conn_01x06_MountingPin,
"Q1, Q2, Q3, Q4",SOT-23,4,AO3416,
Q5,Q_SOT-23,1,AO3401A,C15127
"R1, R11, R12, R13, R14, R15, R16, R17, R18, R19, R21, R23, R24, R4, R5, R6",R_0402,16,10kΩ,C25744
"R10, R2, R22, R3, R9",R_0402,5,100Ω,C25076
R20,R_0402,1,2kΩ,C4109
"R7, R8",R_0402,2,5.1kΩ,C25905
S1,SW_TS-1088-AR02016,1,"Tactile Button, 160gf",C720477
U1,SOT-23-5,1,ME6211C28M5,
U2,SOT-23-5,1,ME6211C15M5,
U3,SOT-23-5,1,ME6211C33M5,
U4,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056,C16581
U5,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
